StreamId,FrameID,ScaleInMm,AvgScaleInMm,AvgScaleVariance,ScaleMedianOffset,AvgDepth,Angle,DepthFrameCount,Col1AvgError,Col1ErrVariance,Col1FrameCount,Col2AvgError,Col2ErrVariance,Col2FrameCount,C2CAvgError,C2CErrVariance,C2CFrameCount
4,0,0.000000,0.000000,0.000000,0.000000,990.127319,153.809586,0,15.314845,0.000000,1,26.624304,0.000000,1,20.969564,0.000000,1
4,1,322.107422,322.107422,0.000000,0.000000,988.379211,157.914505,1,15.460749,0.145904,2,26.525764,0.098541,2,20.993248,0.023685,2
4,2,0.000000,322.107422,0.000000,0.000000,978.737854,152.995010,1,15.976459,0.738989,3,27.195267,0.950230,3,21.585850,0.838290,3
4,3,321.807312,321.957367,0.150055,0.000000,964.414856,144.170059,2,16.533007,1.157071,4,28.134628,1.823296,4,22.333805,1.485043,4
4,4,0.000000,321.957367,0.150055,0.000000,958.388855,133.686417,2,17.015965,1.415642,5,29.070213,2.482096,5,23.043076,1.943334,5
4,9,0.000000,321.957367,0.150055,0.000000,961.050232,125.181763,2,16.755621,1.417367,6,29.729095,2.702708,6,23.242348,1.829117,6
4,10,321.465027,321.793243,0.262442,0.000000,961.031799,135.599411,3,16.747038,1.312396,7,30.101591,2.663386,7,23.424303,1.751103,7
4,11,321.416290,321.699005,0.279820,0.000000,963.367004,139.291428,4,16.768824,1.228986,8,30.350515,2.576949,8,23.559658,1.676697,8
4,12,321.433167,321.645844,0.271932,0.000000,959.915466,138.454819,5,16.857100,1.185296,9,30.609650,2.537719,9,23.733364,1.655396,9
4,13,0.000000,321.645844,0.271932,0.000000,0.000000,0.000000,5,16.857100,1.185296,9,30.609650,2.537719,9,23.733364,1.655396,9
4,14,0.000000,321.645844,0.271932,0.000000,0.000000,0.000000,5,16.704594,1.213984,10,30.332998,2.546535,10,23.518785,1.697262,10
4,21,321.503632,321.622131,0.253833,0.000000,965.910461,137.086823,6,16.805088,1.200320,11,30.365438,2.430192,11,23.585253,1.631869,11
4,22,322.441101,321.739136,0.370613,0.000000,966.227600,151.608032,7,17.026026,1.362956,12,30.444332,2.341398,12,23.735168,1.639604,12
4,23,321.867584,321.755188,0.349269,0.000000,953.117004,153.439117,8,17.386208,1.808735,13,30.717400,2.440334,13,24.051792,1.919510,13
4,24,321.080505,321.680237,0.391655,0.000000,945.224487,140.432907,9,17.672989,2.026575,14,31.042040,2.626775,14,24.357504,2.153210,14
4,25,0.000000,321.680237,0.391655,0.000000,0.000000,0.000000,9,17.890657,2.120499,15,31.314211,2.734416,15,24.602423,2.273108,15
4,30,0.000000,321.680237,0.391655,0.000000,0.000000,0.000000,9,17.536518,2.469150,16,31.170486,2.705471,16,24.353491,2.402829,16
4,31,321.509399,321.663147,0.375074,0.000000,977.102173,149.118729,10,17.456949,2.416479,17,30.946030,2.774004,17,24.201479,2.409085,17
4,32,322.140686,321.706573,0.383063,0.000000,980.490784,165.295837,11,17.429548,2.351111,18,30.668880,2.928035,18,24.049204,2.423933,18
4,33,0.000000,321.706573,0.383063,0.000000,0.000000,0.000000,11,17.429548,2.351111,18,30.668880,2.928035,18,24.049204,2.423933,18
4,34,321.636414,321.700714,0.367267,0.000000,985.756226,158.888184,12,17.316961,2.337724,19,30.436192,3.016082,19,23.876566,2.470361,19
4,35,0.000000,321.700714,0.367267,0.000000,0.000000,0.000000,12,17.158165,2.381347,20,30.142654,3.206091,20,23.650400,2.601810,20
4,36,0.000000,321.700714,0.367267,0.000000,985.478638,137.030334,12,17.039562,2.383717,21,29.920595,3.282644,21,23.480070,2.650907,21
4,42,0.000000,321.700714,0.367267,0.000000,982.250977,138.927322,12,16.973557,2.348472,22,29.698790,3.364386,22,23.336164,2.672595,22
4,43,0.000000,321.700714,0.367267,0.000000,0.000000,0.000000,12,16.977650,2.296931,23,29.625425,3.308379,23,23.301529,2.618893,23
4,44,0.000000,321.700714,0.367267,0.000000,0.000000,0.000000,12,16.977650,2.296931,23,29.625425,3.308379,23,23.301529,2.618893,23
4,45,321.541809,321.688477,0.355390,0.000000,970.758118,161.950409,13,17.065575,2.287765,24,29.576599,3.247175,24,23.321077,2.565466,24
4,46,0.000000,321.688477,0.355390,0.000000,0.000000,0.000000,13,17.095428,2.246309,25,29.457417,3.234700,25,23.276415,2.523139,25
4,47,321.103760,321.646698,0.374108,0.000000,1000.649292,142.455231,14,16.994896,2.259315,26,29.250013,3.337101,26,23.122448,2.591143,26
4,55,322.561371,321.707672,0.427415,0.000000,1079.939819,157.527847,15,16.669477,2.769256,27,28.870949,3.802596,27,22.770206,3.113084,27
4,56,322.854980,321.779388,0.498390,0.000000,1084.547607,153.240707,16,16.410522,3.034047,28,28.530355,4.132239,28,22.470434,3.430962,28
4,66,0.000000,321.779388,0.498390,0.000000,1086.266235,153.147415,16,16.208584,3.166991,29,28.181137,4.461086,29,22.194857,3.673146,29
4,75,0.000000,321.779388,0.498390,0.000000,1067.179688,153.689301,16,16.012062,3.288692,30,27.839745,4.755820,30,21.925900,3.891023,30
4,76,322.180786,321.803009,0.492647,0.000000,1052.890259,165.375381,17,15.876883,3.318857,31,27.517813,4.999741,31,21.697344,4.027256,31
4,77,0.000000,321.803009,0.492647,0.000000,1041.386841,175.685028,17,15.788199,3.303696,32,27.215322,5.201227,32,21.501757,4.110698,32
4,78,0.000000,321.803009,0.492647,0.000000,1038.419800,167.842377,17,15.744493,3.262636,33,26.930380,5.369462,33,21.337433,4.153296,33
